Date,AAPL UW Equity,ABBV UN Equity,ABT UN Equity,ACN UN Equity,AGN UN Equity,AIG UN Equity,ALL UN Equity,AMGN UW Equity,AMZN UW Equity,APC UN Equity,AXP UN Equity,BA UN Equity,BAC UN Equity,BIIB UW Equity,BK UN Equity,BLK UN Equity,BMY UN Equity,BRK/B UN Equity,C UN Equity,CAT UN Equity,CELG UW Equity,CL UN Equity,CMCSA UW Equity,COF UN Equity,COP UN Equity,COST UW Equity,CSCO UW Equity,CVS UN Equity,CVX UN Equity,DD UN Equity,DIS UN Equity,DOW UN Equity,DVN UN Equity,EMC UN Equity,EMR UN Equity,EXC UN Equity,F UN Equity,FB UW Equity,FDX UN Equity,FOX UW Equity,FOXA UW Equity,GD UN Equity,GE UN Equity,GILD UW Equity,GM UN Equity,GOOG UW Equity,GOOGL UW Equity,GS UN Equity,HAL UN Equity,HD UN Equity,HON UN Equity,IBM UN Equity,INTC UW Equity,JNJ UN Equity,JPM UN Equity,KMI UN Equity,KO UN Equity,LLY UN Equity,LMT UN Equity,LOW UN Equity,MA UN Equity,MCD UN Equity,MDLZ UW Equity,MDT UN Equity,MET UN Equity,MMM UN Equity,MO UN Equity,MON UN Equity,MRK UN Equity,MS UN Equity,MSFT UW Equity,NKE UN Equity,NSC UN Equity,ORCL UN Equity,OXY UN Equity,PCLN UW Equity,PEP UN Equity,PFE UN Equity,PG UN Equity,PM UN Equity,QCOM UW Equity,RTN UN Equity,SBUX UW Equity,SLB UN Equity,SO UN Equity,SPG UN Equity,T UN Equity,TGT UN Equity,TWX UN Equity,TXN UW Equity,UNH UN Equity,UNP UN Equity,UPS UN Equity,USB UN Equity,UTX UN Equity,V UN Equity,VZ UN Equity,WBA UW Equity,WFC UN Equity,WMT UN Equity
02/01/15,109.33,65.89,44.9,88.84,259.13,56.11,70.12,159.89,308.52,82.29,93.02,129.95,17.9,342.01,40.46,356.73,59.51,149.17,54.26,91.88,113.52,69.04,57.35,82.49,68.92,141.61,27.61,95.1,112.58,70.0216,93.75,45.59,60.96,29.83,61.79,37.57,15.36,78.45,172.45,36.52,37.85,138.45,25.06,94.91,34.84,523.373,529.55,194.41,39.49,103.43,100.23,162.06,36.36,104.52,62.49,42.81,42.14,70.06,193.31,67.7,85.68,93.26,36.79,71.88,53.91,164.06,48.97,119.74,57.19,38.71,46.76,47.515,109.15,44.33,80.65,1142.06,94.44,31.33,90.44,81.02,36.71,74.28,108.61,40.72,85.67,49.37,185.34,33.87,75.33,84.93,53.48,100.78,118.61,110.38,44.83,115.04,66.255,46.96,76,54.7
05/01/15,106.25,64.65,44.91,87.34,256.69,55,68.73,157.99,302.19,75.8,90.56,129.05,17.38,336.74,39.42,347.5,58.58,147,52.55,87.03,111.93,68.53,55.96,80.59,65.64,140,27.06,94.16,108.08,68.1312,92.38,44.18,58.7,29.24,60.52,36.5,14.76,77.19,169.8,35.77,37.08,135.56,24.6,96.785,34.33,512.463,519.46,188.34,38.71,101.26,98.32,159.51,35.95,103.79,60.55,41.65,42.14,69.37,189.29,66.08,83.27,92.23,36.24,71.58,52.11,160.36,48.69,117.31,58.04,37.5,46.325,46.75,106.39,43.59,77.66,1097.58,93.73,31.16,90.01,80.41,36.62,73.93,106.62,39.94,83.35,49.16,186.1,33.55,73.98,83.24,52.645,99.12,114.6,108.17,43.75,113.12,64.793,46.57,74.5,53.2
06/01/15,106.26,64.33,44.4,86.71,255.17,54.22,68.68,152.9,295.29,75.24,88.63,127.53,16.86,334.65,38.28,342.1,58.48,146.84,50.7,86.47,110.51,67.81,55.23,79.09,62.93,141.85,27.05,94.23,108.03,67.3427,91.89,43.47,57.5,28.68,60.42,36.22,14.62,76.15,169.79,35.27,36.62,135.72,24.07,97.65,34.85,500.585,506.64,184.53,38.33,100.95,98.09,156.07,35.28,103.28,58.98,40.83,42.46,69.72,188.4,66.23,83.09,92.4,35.99,71.22,50.53,158.65,48.98,116.25,60.32,36.42,45.65,46.475,103,43.14,77,1079.96,93.02,31.42,89.6,81.1,34.7,72.88,106.24,39.615,81.72,49.75,191.28,33.6,73.97,82.3,51.78,98.92,112.23,107.46,43.17,111.52,64.375,47.04,74.69,52.09
07/01/15,107.75,66.93,44.76,88.53,265.23,54.48,69.81,158.24,298.42,76.44,90.3,129.51,16.94,353.24,39.07,349.34,59.24,148.88,51.17,87.81,114.55,68.35,55.18,79.99,63.35,144.32,27.3,95.93,107.94,68.6917,92.83,43.4,57.77,28.75,60.29,36.27,15.04,76.15,171.04,33.96,35.315,135.2,24.08,99.48,35.84,499.728,505.15,187.28,39.36,104.41,98.8,155.05,36.02,105.56,59.07,41.37,42.99,69.23,190.83,68.2,84.22,94.01,37.12,73,51.2,159.8,49.88,117.21,61.61,36.94,46.23,47.435,103,43.15,77.01,1069.57,95.74,31.85,90.07,81.71,34.5,73.73,107.57,40.59,81.71,50.3,194.8,33.17,76.77,83.17,52.71,99.93,112.85,108.46,43.55,112.73,65.238,46.19,76.6,52.4
08/01/15,111.89,67.63,45.68,89.88,268.96,54.24,71.15,157.67,300.46,78.91,91.58,131.8,17.29,350.25,39.61,353.42,60.72,151.37,51.94,88.71,115.05,69.28,56.38,80.77,64.93,145.56,27.51,97.97,110.41,70.8006,93.79,44.48,59.82,29.29,61.87,36.55,15.42,78.175,175.04,34.12,35.68,138.46,24.37,102.3,36.2,501.303,506.91,190.27,40.21,106.72,100.6,158.42,36.69,106.39,60.39,42.34,43.51,70.87,195.13,69.64,85.53,94.36,37.59,74.75,51.98,163.63,50.72,119.19,62.85,37.49,47.59,48.53,103.99,43.41,77.69,1082.85,97.48,32.5,91.1,82.94,34.69,74.505,109.6,41.245,82.7,50.34,194.52,33.5,77.13,85.49,53.57,104.7,117.08,110.41,43.87,114.65,66.113,47.18,77.55,53.56
09/01/15,112.01,65.78,45.2,89.78,268.68,53.32,70.42,155.73,296.93,79.14,90.42,131.54,16.98,342.34,39.03,349.23,60.32,149.47,50.78,87.65,113.67,68.6,56.29,79.37,64.92,143.32,27.79,97.92,108.21,69.8221,94.25,44.41,60.41,29.68,60.9,36.49,15.21,77.74,172.66,33.84,35.38,138.97,24.03,102.21,35.59,494.811,500.72,187.35,39.8,104.89,98.93,159.11,36.76,104.94,59.34,41.81,43.03,69.93,195.02,68.33,84.44,93.21,37.22,74.4,51.02,161.62,50.6,119.04,62.56,36.88,47.19,47.995,103.17,43.39,77.54,1051.96,96.82,32.65,90.25,82.72,36.78,74.42,108.7,39.895,81.22,49.7,196.57,33.4,76.43,84.21,53.6,103.72,114.98,109.6,42.96,114.02,65.132,46.76,75.67,52.68
12/01/15,109.25,65.76,45.58,89.51,272.28,52.36,69.7,156.22,291.41,75.05,89.5,130.87,16.68,347.84,38.47,346.93,62.18,148.28,50.38,86.89,117,68.26,56.17,79.06,63.07,142.52,28.05,97.2,105.88,70.6866,94.46,44.15,59.13,28.94,60.17,36.63,15.22,76.72,172.57,33.81,35.38,137.9,23.98,101.21,35.84,491.201,497.06,185.07,38.54,104.42,98.45,156.44,36.6,104.58,58.83,41.61,42.64,69.42,194.47,67.85,83.36,93.01,36.87,74.47,50.43,160.74,50.92,119.56,62.3,36.37,46.6,47.93,101.97,43.27,74.95,1039.98,96.42,32.77,89.92,83.05,36.93,73.57,106.65,40.115,78.05,49.71,196.76,33.49,76.63,84.05,53.12,102.55,113.97,109.64,42.56,114.45,65.005,47.08,75.7,52.05
13/01/15,110.22,63.39,44.61,89.83,269.9,51.87,70.12,155.14,294.74,75.8,89.23,131.17,16.45,352.74,38.4,347.98,63.12,148.63,50.02,86.37,119.98,68.73,56.84,78.39,62.44,141.09,28.095,97.24,104.2,69.4801,95.19,43.61,58.89,28.65,60.08,36.51,15.21,76.45,171.5,33.56,35.13,137.79,23.86,97.21,35.25,494.821,501.8,184.93,38.29,103.73,99.15,156.81,36.5,104.76,58.84,40.89,42.63,69.38,194.35,67.86,83.55,92.83,36.625,72.79,49.81,160.62,51.32,117.86,62.19,36.03,46.355,47.505,101.49,42.93,74.97,1037.82,96.35,32.44,90.3,83.1,37.51,72.97,106.15,40.435,77.78,49.68,196.89,33.49,75.95,85.16,52.79,103.07,111.83,110.11,42.1,114.34,65.195,47.18,75.26,51.85
14/01/15,109.8,63.7,44.28,88.78,266.42,51.38,69.43,155.16,293.27,77.35,87.07,130.38,16.04,348.75,37.43,345.75,62.95,147.82,49.05,86.07,121.1,68.45,55.82,76.75,62.62,139.31,27.92,97.33,103.9,69.2996,94.23,43.43,58.5,28.14,59.62,36.92,15.11,76.28,172.75,33.3,34.86,137.35,23.78,99.26,34.3,499.498,505.93,180.23,38.34,102.64,98.69,155.8,36.35,104,56.81,41.22,42.56,69.76,193.23,67.39,83.46,91.54,36.545,71.77,48.94,159.84,51.73,117.51,62.64,35.21,45.955,46.855,101.07,43.06,75.48,1035.67,96.67,32.48,89.99,83.42,38.63,72.22,106.05,40.21,78.39,50.19,198.63,33.33,74.33,82.39,52.71,103.33,111.36,109.37,41.34,113.52,63.89,46.97,74.99,51.25
15/01/15,106.82,62.89,43.95,88.17,263.75,50.4,69.23,151.92,286.95,75.48,85.88,130.14,15.2,339.88,37.25,342.45,61.63,147.58,47.23,84.32,118.27,68.32,56,76.95,61.41,139.31,27.41,97.17,102.67,69.4896,94.35,43.31,57.86,27.81,59.38,37.27,14.86,74.05,173.85,33.12,34.59,137.71,23.58,97.4,33.43,500.416,504.01,178.49,37.33,101.01,97.11,154.57,36.19,102.49,54.99,40.77,42.38,69.74,192.37,66.35,82.25,91.38,36.54,71.9,47.98,159.66,52.47,117.32,61.88,34.58,45.48,46.405,101.84,42.63,75.99,998.25,96.67,32.4,89.86,82.82,38.39,71.38,105.87,39.79,76.63,50.8,200.07,33.26,75.67,82.42,52.385,104.46,110.8,109.29,40.94,113.52,63.283,47.1,74.78,50.72
